Pais1,Pais2,Distancia
Albânia,Alemanha,1335.1603965477607
Alemanha,Albânia,1335.1603965477607
Albânia,Andorra,1516.6115690232473
Andorra,Albânia,1516.6115690232473
Albânia,Armênia,2076.9714771443496
Armênia,Albânia,2076.9714771443496
Albânia,Áustria,811.8192319592013
Áustria,Albânia,811.8192319592013
Albânia,Azerbaijão,2516.094534370404
Azerbaijão,Albânia,2516.094534370404
Albânia,Bélgica,1588.7278910116727
Bélgica,Albânia,1588.7278910116727
Albânia,Bielorrússia,1511.5195313557233
Bielorrússia,Albânia,1511.5195313557233
Albânia,Bósnia-Herzegovina,303.7998770285681
Bósnia-Herzegovina,Albânia,303.7998770285681
Albânia,Bulgária,327.0358844610319
Bulgária,Albânia,327.0358844610319
Albânia,Cazaquistão,4026.56335589181
Cazaquistão,Albânia,4026.56335589181
Albânia,Croácia,586.7958884614684
Croácia,Albânia,586.7958884614684
Albânia,Dinamarca,1680.3215734123385
Dinamarca,Albânia,1680.3215734123385
Albânia,Eslováquia,787.973689974456
Eslováquia,Albânia,787.973689974456
Albânia,Eslovênia,677.1817045967127
Eslovênia,Albânia,677.1817045967127
Albânia,Espanha,1974.3188173727783
Espanha,Albânia,1974.3188173727783
Albânia,Estônia,2019.7568971330836
Estônia,Albânia,2019.7568971330836
Albânia,Finlândia,2124.3710988628436
Finlândia,Albânia,2124.3710988628436
Albânia,França,1600.9334596685107
França,Albânia,1600.9334596685107
Albânia,Geórgia,2073.3076587707155
Geórgia,Albânia,2073.3076587707155
Albânia,Grécia,500.10162997546234
Grécia,Albânia,500.10162997546234
Albânia,Hungria,688.8834754604228
Hungria,Albânia,688.8834754604228
Albânia,Itália,613.0082623671776
Itália,Albânia,613.0082623671776
Albânia,Kosovo,185.5631062216472
Kosovo,Albânia,185.5631062216472
Albânia,Letônia,1765.9677223117765
Letônia,Albânia,1765.9677223117765
Albânia,Lituânia,1538.9022018225294
Lituânia,Albânia,1538.9022018225294
Albânia,Liechtenstein,1043.0043159540598
Liechtenstein,Albânia,1043.0043159540598
Albânia,Luxemburgo,1405.9577182186833
Luxemburgo,Albânia,1405.9577182186833
Albânia,Macedônia do Norte,152.8844005945004
Macedônia do Norte,Albânia,152.8844005945004
Albânia,Moldávia,957.9180283665735
Moldávia,Albânia,957.9180283665735
Albânia,Montenegro,131.08494932380069
Montenegro,Albânia,131.08494932380069
Albânia,Noruega,2158.7426883229327
Noruega,Albânia,2158.7426883229327
Albânia,Países Baixos,1664.9552411237546
Países Baixos,Albânia,1664.9552411237546
Albânia,Polônia,1215.6184153693025
Polônia,Albânia,1215.6184153693025
Albânia,Portugal,2471.123150730075
Portugal,Albânia,2471.123150730075
Albânia,Inglaterra,1892.1531227410321
Inglaterra,Albânia,1892.1531227410321
Albânia,Romênia,616.9241701927943
Romênia,Albânia,616.9241701927943
Albânia,Rússia,2058.8934628741363
Rússia,Albânia,2058.8934628741363
Albânia,San Marino,668.3389332902277
San Marino,Albânia,668.3389332902277
Albânia,Sérvia,391.0093397215306
Sérvia,Albânia,391.0093397215306
Albânia,Suécia,2005.3866981180583
Suécia,Albânia,2005.3866981180583
Albânia,Suíça,1166.3568686702538
Suíça,Albânia,1166.3568686702538
Albânia,República Tcheca,1057.992436046139
República Tcheca,Albânia,1057.992436046139
Albânia,Ucrânia,1307.0917381026825
Ucrânia,Albânia,1307.0917381026825
Albânia,Vaticano,615.4306224760325
Vaticano,Albânia,615.4306224760325
Alemanha,Andorra,1423.1870891277276
Andorra,Alemanha,1423.1870891277276
Alemanha,Armênia,2722.653345626281
Armênia,Alemanha,2722.653345626281
Alemanha,Áustria,523.4895278128079
Áustria,Alemanha,523.4895278128079
Alemanha,Azerbaijão,3057.336253367232
Azerbaijão,Alemanha,3057.336253367232
Alemanha,Bélgica,650.3817544546004
Bélgica,Alemanha,650.3817544546004
Alemanha,Bielorrússia,953.306589619337
Bielorrússia,Alemanha,953.306589619337
Alemanha,Bósnia-Herzegovina,1031.7994418516273
Bósnia-Herzegovina,Alemanha,1031.7994418516273
Alemanha,Bulgária,1318.5534553966863
Bulgária,Alemanha,1318.5534553966863
Alemanha,Cazaquistão,3879.844964097871
Cazaquistão,Alemanha,3879.844964097871
Alemanha,Croácia,768.6093320886663
Croácia,Alemanha,768.6093320886663
Alemanha,Dinamarca,355.14855027088225
Dinamarca,Alemanha,355.14855027088225
Alemanha,Eslováquia,552.4022562794516
Eslováquia,Alemanha,552.4022562794516
Alemanha,Eslovênia,723.056853109636
Eslovênia,Alemanha,723.056853109636
Alemanha,Espanha,1869.1234658513595
Espanha,Alemanha,1869.1234658513595
Alemanha,Estônia,2667.5309989680536
Estônia,Alemanha,2667.5309989680536
Alemanha,Finlândia,1105.2988363369695
Finlândia,Alemanha,1105.2988363369695
Alemanha,França,877.4563991936283
França,Alemanha,877.4563991936283
Alemanha,Geórgia,2635.126601080719
Geórgia,Alemanha,2635.126601080719
Alemanha,Grécia,1802.8862959637017
Grécia,Alemanha,1802.8862959637017
Alemanha,Hungria,688.0360450785424
Hungria,Alemanha,688.0360450785424
Alemanha,Itália,1183.285215194054
Itália,Alemanha,1183.285215194054
Alemanha,Kosovo,1239.3179711567373
Kosovo,Alemanha,1239.3179711567373
Alemanha,Letônia,844.8358175277805
Letônia,Alemanha,844.8358175277805
Alemanha,Lituânia,818.5480599847027
Lituânia,Alemanha,818.5480599847027
Alemanha,Liechtenstein,659.5639737157401
Liechtenstein,Alemanha,659.5639737157401
